image,gender,prediction
imgs/0.png,1,1
imgs/1.png,1,1
imgs/2.png,1,1
imgs/3.png,1,1
imgs/4.png,1,1
imgs/5.png,1,1
imgs/6.png,1,1
imgs/7.png,1,1
imgs/8.png,1,1
imgs/9.png,1,1
imgs/10.png,1,1
imgs/11.png,1,1
imgs/12.png,1,1
imgs/13.png,1,1
imgs/14.png,1,1
imgs/15.png,1,1
imgs/16.png,1,1
imgs/17.png,1,1
imgs/18.png,1,1
imgs/19.png,1,1
imgs/20.png,1,1
imgs/21.png,1,1
imgs/22.png,1,1
imgs/23.png,1,1
imgs/24.png,1,1
imgs/25.png,1,1
imgs/26.png,1,1
imgs/27.png,1,1
imgs/28.png,1,1
imgs/29.png,1,1
imgs/30.png,1,1
imgs/31.png,1,1
imgs/32.png,1,1
imgs/33.png,1,1
imgs/34.png,1,1
imgs/35.png,1,1
imgs/36.png,1,1
imgs/37.png,0,0
imgs/38.png,1,1
imgs/39.png,1,1
imgs/40.png,1,1
imgs/41.png,1,1
imgs/42.png,1,1
imgs/43.png,1,1
imgs/44.png,1,1
imgs/45.png,1,1
imgs/46.png,1,1
imgs/47.png,1,1
imgs/48.png,1,1
imgs/49.png,1,1
imgs/50.png,1,1
imgs/51.png,1,1
imgs/52.png,1,1
imgs/53.png,1,1
imgs/54.png,1,1
imgs/55.png,1,1
imgs/56.png,1,1
imgs/57.png,1,1
imgs/58.png,1,1
imgs/59.png,1,1
imgs/60.png,1,1
imgs/61.png,1,1
imgs/62.png,1,1
imgs/63.png,1,1
imgs/64.png,1,1
imgs/65.png,1,1
imgs/66.png,1,1
imgs/67.png,1,1
imgs/68.png,1,1
imgs/69.png,1,1
imgs/70.png,1,1
imgs/71.png,1,1
imgs/72.png,0,0
imgs/73.png,1,1
imgs/74.png,1,1
imgs/75.png,0,0
imgs/76.png,1,1
imgs/77.png,0,0
imgs/78.png,1,1
imgs/79.png,1,1
imgs/80.png,0,0
imgs/81.png,1,1
imgs/82.png,0,0
imgs/83.png,1,1
imgs/84.png,1,1
imgs/85.png,1,1
imgs/86.png,1,1
imgs/87.png,1,1
imgs/88.png,1,1
imgs/89.png,0,0
imgs/90.png,1,1
imgs/91.png,1,0
imgs/92.png,1,1
imgs/93.png,0,0
imgs/94.png,0,0
imgs/95.png,0,0
imgs/96.png,1,1
imgs/97.png,0,0
imgs/98.png,1,0
imgs/99.png,1,1
imgs/100.png,1,1
imgs/101.png,0,0
imgs/102.png,1,1
imgs/103.png,1,1
imgs/104.png,1,1
imgs/105.png,1,1
imgs/106.png,1,1
imgs/107.png,1,1
imgs/108.png,0,0
imgs/109.png,1,1
imgs/110.png,1,1
imgs/111.png,1,1
imgs/112.png,0,0
imgs/113.png,2,1
imgs/114.png,1,1
imgs/115.png,1,1
imgs/116.png,1,1
imgs/117.png,1,0
imgs/118.png,0,1
imgs/119.png,1,1
imgs/120.png,1,1
imgs/121.png,1,1
imgs/122.png,1,1
imgs/123.png,1,1
imgs/124.png,1,1
imgs/125.png,1,1
imgs/126.png,1,1
imgs/127.png,1,1
imgs/128.png,1,1
imgs/129.png,1,0
imgs/130.png,0,0
imgs/131.png,0,0
imgs/132.png,0,0
imgs/133.png,0,0
imgs/134.png,0,0
imgs/135.png,0,0
imgs/136.png,0,0
imgs/137.png,0,0
imgs/138.png,0,0
imgs/139.png,0,1
imgs/140.png,1,1
imgs/141.png,1,1
imgs/142.png,1,1
imgs/143.png,1,1
imgs/144.png,1,1
imgs/145.png,1,1
imgs/146.png,1,1
imgs/147.png,1,1
imgs/148.png,1,1
imgs/149.png,1,1
imgs/150.png,1,1
imgs/151.png,1,1
imgs/152.png,1,1
imgs/153.png,1,1
imgs/154.png,1,1
imgs/155.png,1,1
imgs/156.png,1,1
imgs/157.png,1,1
imgs/158.png,1,1
imgs/159.png,1,0
imgs/160.png,0,0
imgs/161.png,0,0
imgs/162.png,0,0
imgs/163.png,0,0
imgs/164.png,0,0
imgs/165.png,0,0
imgs/166.png,0,0
imgs/167.png,0,0
imgs/168.png,0,0
imgs/169.png,0,0
imgs/170.png,0,0
imgs/171.png,0,0
imgs/172.png,0,0
imgs/173.png,0,1
imgs/174.png,1,0
imgs/175.png,0,0
imgs/176.png,0,0
imgs/177.png,0,0
imgs/178.png,1,0
imgs/179.png,1,1
imgs/180.png,1,1
imgs/181.png,1,1
imgs/182.png,1,1
imgs/183.png,1,1
imgs/184.png,1,1
imgs/185.png,1,0
imgs/186.png,1,1
imgs/187.png,1,1
imgs/188.png,1,1
imgs/189.png,1,1
imgs/190.png,1,1
imgs/191.png,1,1
imgs/192.png,1,1
imgs/193.png,1,1
imgs/194.png,1,1
imgs/195.png,1,1
imgs/196.png,1,1
imgs/197.png,1,1
imgs/198.png,1,1
imgs/199.png,1,1
